ID_PARLN_short,spessore,Vs,Acoord_Y,Acoord_X,DEM,Slope,Geologia,Roughness,Ruggedness,Topographic_position_index,Profile_curvature,Tangential_curvature,Aspect,Dx,Dy
057001L2,18,364.1311549,42.73566176,13.26478563,678.5170898,3.489641428,3,1.700012207,6.10E-05,-6.10E-05,-2.44E-07,-1.61E-07,234.7172241,-0.035222113,-0.049777687
057001L3,22,661.2430628,42.6952751,13.25659604,747.0249023,4.310906887,3,2.131896973,3.05E-05,0,-2.52E-07,5.06E-08,225.8794403,-0.052476503,-0.054112684
057001L4,23.3,579.8484429,42.68885022,13.272962,930.9788208,7.390379429,6,3.369628906,0.725135803,0.329406738,-0.001019723,0.009748436,150.1425018,-0.112485401,0.064570993
057001L5,23.7,586.4162284,42.6887804,13.27251229,926.1392822,8.491897583,6,3.580078125,0.987068176,0.376342773,0.003921555,0.005915028,188.3774567,-0.147706747,-0.021752037
057001L6,22.5,473.1870936,42.73284021,13.27054449,707.6403809,12.23050308,6,6.09954834,1.240089417,-0.470214844,-0.007242758,-0.004670293,226.7881775,-0.148412451,-0.157977879
057001L8,24.8,559.5109788,42.68034387,13.21217204,1185.109985,9.380498886,6,4.198974609,1.166534424,0.822143555,0.00443034,0.017078018,46.42319489,0.113871641,0.119673967
057001L10,22.2,470.9090909,42.70082989,13.23943325,955.508606,8.985821724,6,4.403137207,0.743598938,-0.277587891,-0.004861488,-0.002327763,228.6683197,-0.104428113,-0.118735559
109021L5,25,304.5940061,43.02779411,13.58408126,440.0302124,12.35055065,17,5.640289307,1.458679199,0.819213867,0.014755864,0.005877122,262.165802,-0.029844614,-0.216908112
043008L8,25,409.0828765,43.13458072,13.26850903,339.5949097,16.37845612,17,6.29019165,0.419242859,0.181732178,0.003274334,0.001092089,180.6043243,-0.293877721,-0.003099805
054007L10,25,595.1585977,42.71515421,13.01672305,668.4335938,8.25270462,17,4.215942383,1.092048645,0.139160156,-0.002421362,0.006143901,45.0241127,0.102512397,0.102598719
067012L21,25,643.8323222,42.51517407,13.72951929,559.8792725,6.761739254,6,3.403198242,0.256637573,-0.060424805,-0.00169321,0.000117131,52.78435135,0.071707636,0.094417773
